-----  ----
8,13   8051
11,7   6804
8,12   5909
13,8   5858
11,6   5379
12,7   5343
7,12   5114
7,15   4781
7,13   4738
12,9   4561
7,14   4433
6,11   4383
6,12   4364
10,15  4250
9,9    4163
4,18   3963
12,8   3885
11,8   3811
3,17   3585
9,14   3557
8,8    3531
10,6   3522
7,16   3262
10,5   3149
20,10  3141
10,17  3125
13,9   3105
14,9   3080
10,16  3051
9,13   2996
9,15   2984
9,16   2920
5,19   2880
5,20   2761
8,14   2700
4,17   2520
9,17   2498
10,14  2486
11,9   2473
9,10   2437
7,11   2396
5,11   2384
7,10   2363
6,10   2342
6,15   2318
19,9   2284
8,11   2233
19,14  2133
6,13   2072
19,15  2060
6,19   2054
4,19   2031
10,18  1967
7,20   1927
11,5   1925
5,10   1866
10,11  1824
18,10  1793
19,16  1695
6,20   1693
13,5   1676
13,4   1663
5,9    1659
6,9    1659
3,16   1594
15,10  1577
20,11  1575
19,11  1546
14,4   1534
12,13  1514
14,3   1500
13,14  1498
3,18   1488
2,19   1477
2,20   1476
8,7    1469
5,18   1463
9,7    1431
11,16  1421
15,4   1407
11,4   1367
14,10  1347
14,11  1343
8,6    1319
13,6   1317
17,5   1316
1,20   1272
14,7   1243
12,12  1239
13,15  1239
3,7    1236
7,7    1235
11,14  1222
1,19   1207
13,10  1203
2,16   1145
12,5   1139
6,16   1138
3,8    1131
16,4   1125
4,8    1117
6,18   1115
20,17  1096
20,12  1094
12,10  1091
18,9   1063
18,8   1062
15,7   1060
8,15   1045
19,6   1035
12,11  1007
17,9   1007
10,7    991
12,3    983
8,16    963
11,13   963
14,6    955
12,14   949
16,5    948
17,6    937
18,7    929
20,5    929
9,8     913
7,17    906
11,19   904
15,8    894
18,15   891
8,10    887
12,6    884
14,12   878
11,12   868
8,9     856
15,11   848
18,6    836
16,8    835
9,4     825
18,13   816
6,14    798
12,15   778
17,7    777
14,13   775
19,5    773
19,8    773
19,13   771
10,10   767
2,6     753
3,10    747
5,17    747
11,10   729
14,16   729
20,3    719
2,18    717
18,16   715
20,9    713
9,5     710
7,9     708
4,20    705
8,17    703
10,20   702
13,12   702
14,5    698
16,9    698
3,19    697
9,19    697
13,11   688
4,9     686
18,4    681
18,3    674
13,16   657
5,12    653
9,18    639
15,3    639
20,7    630
11,11   619
7,19    611
12,4    609
18,5    604
2,9     599
19,12   596
10,9    579
19,2    578
10,4    566
13,2    566
15,14   555
20,4    549
3,20    548
8,20    546
10,12   546
15,13   542
13,7    538
17,2    537
18,2    537
17,10   536
4,7     534
16,3    532
19,4    531
18,14   527
5,14    525
14,14   524
18,1    524
18,17   524
12,17   522
20,14   513
11,15   509
10,19   503
19,17   498
17,20   492
5,8     488
2,8     487
10,8    487
20,13   484
14,15   478
8,18    471
9,12    467
16,10   464
9,11    462
17,4    450
3,11    449
19,3    435
4,16    433
16,6    432
18,11   431
2,7     418
16,12   418
2,17    416
7,8     398
2,15    397
17,3    390
1,8     386
1,7     381
20,6    367
13,13   363
4,10    359
14,17   357
20,15   349
6,17    333
16,11   328
13,18   317
4,11    316
20,18   315
20,16   309
11,20   302
14,8    295
3,9     291
19,10   291
1,18    277
15,12   267
8,19    260
10,13   259
18,12   256
11,17   255
9,6     250
13,3    236
9,20    226
14,2    225
3,6     219
15,2    219
8,5     213
10,3    196
8,4     194
16,15   185
19,7    183
19,18   183
12,20   179
7,18    176
15,5    176
17,19   171
18,18   170
15,15   168
6,8     165
15,17   163
5,13    161
7,6     160
12,16   159
17,11   155
15,9    143
15,16   142
17,1    142
1,9     138
9,3     137
18,20   135
14,1    133
7,5     132
16,2    131
19,20   131
7,4     130
16,7    125
17,12   125
12,1    124
8,3     122
2,5     120
16,13   118
18,19   117
20,2    114
3,15    113
15,20   105
4,12    104
14,19    99
11,3     98
15,18    86
13,17    81
17,8     80
19,19    80
1,6      71
16,1     68
19,1     68
12,18    62
11,18    57
7,3      56
2,10     54
20,8     52
17,14    51
6,7      49
15,6     49
16,17    49
5,16     48
17,13    46
1,10     43
5,15     40
6,2      40
16,14    40
20,19    39
17,16    38
16,16    29
4,13     27
2,14     22
7,1      22
14,18    18
5,1      16
8,2      13
16,18    11
1,13      7
8,1       7
12,19     5
15,19     4
4,1       1
20,20     1
1,1       0
1,2       0
1,3       0
1,4       0
1,5       0
1,11      0
1,12      0
1,14      0
1,15      0
1,16      0
1,17      0
2,1       0
2,2       0
2,3       0
2,4       0
2,11      0
2,12      0
2,13      0
3,1       0
3,2       0
3,3       0
3,4       0
3,5       0
3,12      0
3,13      0
3,14      0
4,2       0
4,3       0
4,4       0
4,5       0
4,6       0
4,14      0
4,15      0
5,2       0
5,3       0
5,4       0
5,5       0
5,6       0
5,7       0
6,1       0
6,3       0
6,4       0
6,5       0
6,6       0
7,2       0
9,1       0
9,2       0
10,1      0
10,2      0
11,1      0
11,2      0
12,2      0
13,1      0
13,19     0
13,20     0
14,20     0
15,1      0
16,19     0
16,20     0
17,15     0
17,17     0
17,18     0
20,1      0
-----  ----
